ski,taille_ski,lvl_ski,chaussure_ski,taille_ch_ski,sb,taille_sb,chaussure_sb,taille_ch_sb,casque,taille_casque
1,173,exp,4,310,1,156,2,43,2,L
2,167,exp,3,305,2,155,3,41,4,L
3,167,exp,1,305,3,162,4,41,5,L
4,177,exp,2,305,5,162,9,40,6,M
5,177,exp,5,300,6,151,7,39,7,M
6,177,exp,8,295,7,161,,,8,L
7,182,exp,7,295,8,163,,,9,XL
9,177,exp,6,295,9,153,,,10,XL
10,142,exp,9,290,10,156,,,11,XL
11,142,exp,10,290,12,155,,,12,XL
12,156,exp,11,285,13,151,,,13,L
13,163,exp,20,285,14,156,,,16,L
14,170,exp,15,285,15,156,,,18,L
15,172,exp,17,285,17,143,,,19,L
16,190,exp,12,285,18,158,,,20,L
17,188,exp,14,285,20,156,,,21,M
18,180,exp,16,285,21,155,,,21,M
19,180,exp,18,285,22,149,,,22,M
20,180,exp,22,280,,,,,24,M
21,180,exp,24,280,,,,,26,M
22,170,exp,25,280,,,,,27,M
23,182,exp,21,280,,,,,28,M
24,178,int,31,280,,,,,29,S
25,178,int,29,280,,,,,30,S
26,172,int,26,280,,,,,31,S
27,176,int,27,280,,,,,32,S
28,176,int,28,280,,,,,33,S
29,166,int,23,280,,,,,,
30,163,int,33,275,,,,,,
31,184,int,36,275,,,,,,
32,175,int,34,275,,,,,,
33,168,int,33,275,,,,,,
34,182,int,32,275,,,,,,
35,177,int,35,275,,,,,,
36,180,int,39,275,,,,,,
37,178,int,37,275,,,,,,
38,170,deb,40,270,,,,,,
39,178,int,41,270,,,,,,
40,166,deb,42,270,,,,,,
41,176,deb,43,260,,,,,,
42,175,exp,46,260,,,,,,
43,167,int,45,260,,,,,,
44,166,int,48,255,,,,,,
45,166,int,50,255,,,,,,
46,180,int,49,255,,,,,,
47,156,int,52,250,,,,,,
48,165,int,51,250,,,,,,
49,174,deb,53,250,,,,,,
50,166,int,54,250,,,,,,
51,175,int,56,245,,,,,,
52,156,int,58,245,,,,,,
53,153,int,57,245,,,,,,
54,162,deb,55,245,,,,,,
55,158,int,59,235,,,,,,
56,154,int,60,235,,,,,,
57,146,int,47,260,,,,,,
58,154,int,,,,,,,,
59,150,int,,,,,,,,
60,175,int,,,,,,,,
61,160,deb,,,,,,,,
62,149,int,,,,,,,,
63,154,deb,,,,,,,,
64,168,deb,,,,,,,,
65,162,deb,,,,,,,,
66,182,int,,,,,,,,
67,169,int,,,,,,,,
68,180,int,,,,,,,,
69,156,int,,,,,,,,
70,152,int,,,,,,,,
71,154,int,,,,,,,,
72,176,deb,,,,,,,,
73,176,deb,,,,,,,,
74,154,int,,,,,,,,
75,182,int,,,,,,,,
76,173,deb,,,,,,,,
77,180,deb,,,,,,,,
78,162,deb,,,,,,,,
80,170,int,,,,,,,,
81,170,int,,,,,,,,
82,163,exp,,,,,,,,
83,182,exp,,,,,,,,
84,174,int,,,,,,,,
,,,,,,,,,,
